Mode,Dropout,Epoch,Ppl
train,0.4,1,514.0946946309114
validation,0.4,1,256.8145583599872
train,0.4,2,201.0883231642167
validation,0.4,2,157.93043585732423
train,0.4,3,138.89552589592378
validation,0.4,3,135.56758169325886
train,0.4,4,109.92422497290568
validation,0.4,4,123.48475968346303
train,0.4,5,93.37456200674464
validation,0.4,5,114.74186503705097
train,0.4,6,82.58464376460688
validation,0.4,6,108.83475820044124
train,0.4,7,74.46031023303559
validation,0.4,7,106.62848035765843
train,0.4,8,68.63903746087621
validation,0.4,8,103.29756451934027
train,0.4,9,64.03358345319532
validation,0.4,9,102.09231914322045
train,0.4,10,59.81658614754928
validation,0.4,10,102.0062225530217
train,0.4,11,56.7086566770765
validation,0.4,11,100.99910530848942
train,0.4,12,53.892277604946905
validation,0.4,12,102.14830839462618
train,0.4,13,45.895281044963085
validation,0.4,13,98.10961449290967
train,0.4,14,43.2371815456845
validation,0.4,14,97.66919039609233
train,0.4,15,41.82672213891253
validation,0.4,15,97.35440638554167
train,0.4,16,40.909185234204024
validation,0.4,16,97.28117933403037
train,0.4,17,39.860528431489065
validation,0.4,17,97.69226081575125
train,0.4,18,38.13710887012653
validation,0.4,18,96.72747836052687
train,0.4,19,37.56692235313975
validation,0.4,19,97.04204261793525
train,0.4,20,37.179805833594145
validation,0.4,20,96.6372644615021
train,0.4,21,36.97831621825524
validation,0.4,21,96.58615117163947
train,0.4,22,36.8329044104739
validation,0.4,22,96.5727226786073
train,0.4,23,36.77300533116614
validation,0.4,23,96.52995162227934
train,0.4,24,36.56937597952123
validation,0.4,24,96.61665259066808
train,0.4,25,36.535769399256665
validation,0.4,25,96.57749550033878
train,0.4,26,36.462295687661985
validation,0.4,26,96.56614983843913
train,0.4,27,36.42929803770248
validation,0.4,27,96.5619877044405
train,0.4,28,36.59570364217512
validation,0.4,28,96.56124143285629
train,0.4,29,36.35142920123194
validation,0.4,29,96.56121650616818
train,0.4,30,36.32761641020108
validation,0.4,30,96.56122631949809
train,0.4,31,36.45487307016327
validation,0.4,31,96.56124917586529
train,0.4,32,36.39348490204369
validation,0.4,32,96.56125207431806
train,0.4,33,36.27993433629133
validation,0.4,33,96.5612506250917
train,0.4,34,36.58516332529824
validation,0.4,34,96.56125207431806
train,0.4,35,36.5010823720281
validation,0.4,35,96.56125207431806
train,0.4,36,36.40322739526066
validation,0.4,36,96.56125352354452
train,0.4,37,36.45678777517321
validation,0.4,37,96.56125352354452
train,0.4,38,36.432644249999754
validation,0.4,38,96.56125352354452
train,0.4,39,36.46618222950803
validation,0.4,39,96.56125352354452
train,0.4,40,36.465678142386025
validation,0.4,40,96.56125352354452
test,0.4,,100.33445835550691
