train.perplexity,Dropout 0.0,Dropout 0.2,Dropout 0.4,Dropout 0.6,Dropout 0.8
Epoch 1,508.25379576909495,512.0178899485638,514.0946946309114,518.1790307393811,541.1309434536136
Epoch 2,185.4696769752266,193.1198988382253,201.0883231642167,214.35688481947653,255.42332651316823
Epoch 3,120.7682908785266,128.68288129602448,138.89552589592378,155.73731423901097,205.48547731572305
Epoch 4,88.3151649740524,98.5392344547982,109.92422497290568,130.58156587342162,183.4812922782517
Epoch 5,71.15702004949046,81.15271522250096,93.37456200674464,115.44308549667042,169.7284764157384
Epoch 6,59.31748374429996,70.10985802533301,82.58464376460688,104.72146602908556,159.96474715772982
Epoch 7,50.45781667542696,61.14942683129628,74.46031023303559,96.89906940618656,153.40732630267718
Epoch 8,36.59883198442717,54.65432762311376,68.63903746087621,91.23968695393737,148.8601647699577
Epoch 9,31.89400368202841,49.342618506277766,64.03358345319532,86.87230795147404,144.98167928536992
Epoch 10,28.527343382607324,38.722218622963794,59.81658614754928,82.96944158530502,141.66497136766543
Epoch 11,27.32660012641023,35.56908129446824,56.7086566770765,80.0286221783023,138.41495649003923
Epoch 12,26.90745531754494,32.84379946880127,53.892277604946905,77.50466256034872,136.8034334337086
Epoch 13,26.786575897927943,32.09007771519346,45.895281044963085,75.08448985011134,133.42534635206957
Epoch 14,26.75592772042697,31.415500012566696,43.2371815456845,73.49647240265737,132.93262672939
Epoch 15,26.748247481097085,31.17281063379998,41.82672213891253,66.40045234381039,131.58482164881443
Epoch 16,26.74632582082737,31.027954123709137,40.90918523420402,63.72744979047787,129.0184325593733
Epoch 17,26.74584023031644,30.790923602052256,39.860528431489065,62.05012205285178,127.97802910510728
Epoch 18,26.745717415255797,30.602966964506383,38.13710887012653,61.21993450424027,127.0694498981974
Epoch 19,26.745692546231176,30.58051838206529,37.56692235313975,59.692702877916815,119.17396442075211
Epoch 20,26.74568967672981,30.517569574715825,37.17980583359415,58.94615896610335,115.08568106917748
Epoch 21,26.74568872022944,30.656750588689707,36.97831621825524,58.655197068766775,112.73733663931728
Epoch 22,26.74568852892936,30.59918843578725,36.8329044104739,58.16088198494722,110.84448843338564
Epoch 23,26.745688401395984,30.56907298227072,36.77300533116614,58.19494022694135,108.6295959007672
Epoch 24,26.745688911529516,30.41281246239711,36.56937597952123,57.57514111072294,107.8191965301806
Epoch 25,26.74568903906289,30.62848668680149,36.535769399256665,57.57543006444724,106.76725144747152
Epoch 26,26.7456889752962,30.515076570371125,36.46229568766199,57.38361029087752,105.2146646505863
Epoch 27,26.7456889752962,30.571456546666823,36.42929803770248,57.54950344295551,104.10428359553242
Epoch 28,26.7456889752962,30.58072843545208,36.59570364217512,57.19690910424877,104.15829834492408
Epoch 29,26.7456889752962,30.49083684201858,36.35142920123194,57.09859745573203,103.12481257894872
Epoch 30,26.7456889752962,30.54923326788596,36.32761641020108,57.05105923251392,102.1634578484675
Epoch 31,26.7456889752962,30.61369975680334,36.45487307016327,56.82998894740669,102.68800400375233
Epoch 32,26.7456889752962,30.57415075282778,36.39348490204369,56.905800656660944,102.14067184429793
Epoch 33,26.7456889752962,30.45770577921031,36.27993433629133,56.92247933458548,102.12274140737732
Epoch 34,26.7456889752962,30.58883478392391,36.58516332529824,57.059496516992425,102.05090709179473
Epoch 35,26.7456889752962,30.568998423718156,36.5010823720281,57.10461406388114,102.1679139371474
Epoch 36,26.7456889752962,30.61783579760276,36.40322739526066,57.15044284526152,101.88765675455728
Epoch 37,26.7456889752962,30.65065142669416,36.45678777517321,57.15067584567467,102.46059472233392
Epoch 38,26.7456889752962,30.483905356614788,36.43264424999976,56.90541914264803,101.12086605031338
Epoch 39,26.7456889752962,30.49639254457989,36.46618222950803,57.30415923278346,101.8844386130978
Epoch 40,26.7456889752962,30.604085875004035,36.465678142386025,56.89902834920248,101.4195913554096
